adresse,num,proprio[global],collectif,sexe,statut_femme,proprio_titre*,proprio_particule*,proprio_name*,proprio_ad,proprio_numAd,commune_propio,proprio_region*,Pays,same_place*,commentaire,x_dom,y_dom,postcode_en2020_dom,source_dom,url_dom,score_dom
rue de l’Abbé Grégoire,9,St-Elme (Melle),,F,Melle,-0,-0,St-Elme,rue Madame,33,Paris,Paris,France,non,,2.33183,48.849455,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=33+rue+Madame&lat=48.8566&lon=2.3522&limit=100,0.8757962780914285
rue de l’Abbé Grégoire,11,Moreau,,,,-0,-0,Moreau,faubourg St Honoré,164,Paris,Paris,France,non,,2.309341,48.873504,75008,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=164+faubourg+St+Honoré&lat=48.8566&lon=2.3522&limit=100,0.5937163434157459
rue de l’Abbé Grégoire,13,Pamart,,,,-0,-0,Pamart,rue Abbé Grégoire,13,Paris,Paris,France,oui,,2.324126,48.84909,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=13+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194776695315138
rue de l’Abbé Grégoire,15,Best (Vve),,F,Veuve,-0,-0,Best,rue Abbé Grégoire,15,Paris,Paris,France,oui,,2.324313,48.848932,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=15+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194785452326177
rue de l’Abbé Grégoire,21,Hamot,,,,-0,-0,Hamot,-0,Pontoise,,Seine-et-Oise,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=Pontoise+-0&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Grégoire,23,Coulon (Vve),,F,Veuve,-0,-0,Coulon,avenue Pièce d’Eau,12,,Seine-et-Oise,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=12+avenue+Pièce+d’Eau&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Grégoire,25,Hervieux (Vve),,F,Veuve,-0,-0,Hervieux,rue Abbé Grégoire,25,Paris,Paris,France,oui,,2.325063,48.848145,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=25+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194806706697137
rue de l’Abbé Grégoire,27,Reslut,,,,-0,-0,Reslut,rue Le Peletier,42,Paris,Paris,France,non,,2.339748,48.874941,75009,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=42+rue+Le+Peletier&lat=48.8566&lon=2.3522&limit=100,0.5022944226176597
rue de l’Abbé Grégoire,29,Leroux (Hiers),,,,-0,-0,Leroux,rue Grenelle,96,Paris,Paris,France,non,,2.29565,48.864162,75016,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=96+rue+Grenelle&lat=48.8566&lon=2.3522&limit=100,0.3811211250317554
rue de l’Abbé Grégoire,31,Maumené,,,,-0,-0,Maumené,rue Rivoli,5,Paris,Paris,France,non,,2.347911,48.858495,75001,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=5+rue+Rivoli&lat=48.8566&lon=2.3522&limit=100,0.6041826460288836
rue de l’Abbé Grégoire,33,Lefebvre,,,,-0,-0,Lefebvre,rue Abbé Grégoire,33,Paris,Paris,France,oui,,2.325495,48.847657,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=33+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.719481318738145
rue de l’Abbé Grégoire,35,Dubois,,,,-0,-0,Dubois,rue Abbé Grégoire,35,Paris,Paris,France,oui,,2.325573,48.847569,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=35+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.719481408653505
rue de l’Abbé Grégoire,37,Roux,,,,-0,-0,Roux,boulevard Montparnasse,89,Paris,Paris,France,non,,2.324688,48.843414,75014,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=89+boulevard+Montparnasse&lat=48.8566&lon=2.3522&limit=100,0.7140565227553392
rue de l’Abbé Grégoire,39,Falconnier (Hiers),,,,-0,-0,Falconnier,rue de Paris,56,Vincennes,Seine,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=56+rue+de+Paris&lat=48.8566&lon=2.3522&limit=100,
